Date,LastUpdate,BusinessUnit,Site,Region,Severity,Status,SourceSystem,PageName,KPIName,KPIValue,Target,DeltaPct,Owner
2026-03-01,2026-03-24,Ports,Ahmedabad,North,High,In Progress,IAM,Page 1 - SOC Overview,Critical Incidents,72,100,-28,Security Ops
2026-03-01,2026-03-24,Energy,Ahmedabad,South,High,In Progress,EDR,Page 1 - SOC Overview,Mean Time to Respond (MTTR),72,100,-28,Security Ops
2026-03-01,2026-03-24,Ports,Mumbai,West,Low,Open,DLP,Page 1 - SOC Overview,False Positive Rate,15,100,-85,SOC Team
2026-03-01,2026-03-24,Data Center,Ahmedabad,East,Critical,Open,SIEM,Page 1 - SOC Overview,Incident Recurrence Rate,47,100,-53,SOC Team
2026-03-01,2026-03-24,Airports,Raipur,West,High,Open,SIEM,Page 1 - SOC Overview,Escalation Rate,13,100,-87,Security Ops
2026-03-01,2026-03-24,Ports,Raipur,South,Medium,Open,SIEM,Page 2 - Threat Detection,Ransomware Detection Count,15,100,-85,SOC Team
2026-03-01,2026-03-24,Energy,Ahmedabad,West,Critical,Open,SIEM,Page 2 - Threat Detection,EDR Coverage Rate,54,100,-46,Security Ops
2026-03-01,2026-03-24,Airports,Mumbai,East,Critical,Open,IAM,Page 2 - Threat Detection,XDR Alert Volume,63,100,-37,SOC Team
2026-03-01,2026-03-24,Data Center,Mumbai,North,Critical,Open,IAM,Page 2 - Threat Detection,Suspicious Login Attempts,14,100,-86,SOC Team
2026-03-01,2026-03-24,Airports,Mumbai,South,Critical,Resolved,DLP,Page 3 - Vulnerability & Patch,Critical Vulnerabilities Open,105,100,5,SOC Team
2026-03-01,2026-03-24,Data Center,Ahmedabad,West,Critical,Resolved,Firewall,Page 3 - Vulnerability & Patch,Vulnerability Remediation Rate,125,100,25,Security Ops
2026-03-01,2026-03-24,Ports,Mundra,South,Low,Open,SIEM,Page 3 - Vulnerability & Patch,Average Patch Age (Days),26,100,-74,Security Ops
2026-03-01,2026-03-24,Airports,Raipur,West,Critical,Resolved,EDR,Page 4 - Identity & Access,Privileged Account Count,122,100,22,Security Ops
2026-03-01,2026-03-24,Energy,Mumbai,South,Medium,Open,DLP,Page 4 - Identity & Access,Dormant Account Count,21,100,-79,SOC Team
2026-03-01,2026-03-24,Ports,Mundra,South,Low,Open,Firewall,Page 4 - Identity & Access,Failed Login Rate,11,100,-89,Security Ops
2026-03-01,2026-03-24,Data Center,Raipur,South,Medium,In Progress,IAM,Page 4 - Identity & Access,Unauthorized Access Attempts,85,100,-15,Security Ops
2026-03-01,2026-03-24,Ports,Mumbai,South,Low,Resolved,Firewall,Page 4 - Identity & Access,IAM Provisioning SLA,104,100,4,Security Ops
2026-03-01,2026-03-24,Energy,Ahmedabad,East,Medium,In Progress,SIEM,Page 4 - Identity & Access,Third-Party Access Risk Score,82,100,-18,Security Ops
2026-03-01,2026-03-24,Data Center,Mundra,East,Low,Open,Firewall,Page 5 - Compliance & Resilience,Data Loss Prevention (DLP) Incidents,25,100,-75,Security Ops
